Line	OP Code	OP Name	L	M
0	7	JMP	0	180
1	7	JMP	0	6
2	6	INC	0	4
3	9	RED	0	2
4	4	STO	0	3
5	3	LOD	0	3
6	1	LIT	0	3
7	2	EQL	0	8
8	8	JPC	0	45
9	1	LIT	0	3
10	3	LOD	0	3
11	2	MUL	0	4
12	1	LIT	0	4
13	2	ADD	0	2
14	4	STO	1	3
15	3	LOD	0	3
16	2	ODD	0	6
17	8	JPC	0	69
18	3	LOD	0	3
19	3	LOD	1	3
20	2	MOD	0	7
21	4	STO	0	3
22	7	JMP	0	45
23	9	RED	0	2
24	4	STO	0	3
25	3	LOD	0	3
26	1	LIT	0	0
27	2	GEQ	0	13
28	8	JPC	0	90
29	5	CAL	1	3
30	2	RTN	0	0
31	7	JMP	0	96
32	6	INC	0	5
33	3	LOD	0	4
34	3	LOD	1	3
35	2	SUB	0	3
36	4	STO	0	3
37	3	LOD	0	3
38	3	LOD	1	3
39	2	LEQ	0	11
40	8	JPC	0	141
41	3	LOD	1	3
42	1	LIT	0	13
43	2	MUL	0	4
44	1	LIT	0	10
45	2	DIV	0	5
46	4	STO	0	3
47	3	LOD	1	3
48	3	LOD	0	3
49	2	GTR	0	12
50	8	JPC	0	174
51	3	LOD	1	3
52	3	LOD	0	3
53	3	LOD	0	4
54	2	MOD	0	7
55	2	SUB	0	3
56	4	STO	1	3
57	7	JMP	0	141
58	5	CAL	1	3
59	2	RTN	0	0
60	6	INC	0	4
61	5	CAL	0	93
62	3	LOD	0	3
63	1	LIT	0	3
64	2	NEQ	0	9
65	8	JPC	0	207
66	1	LIT	0	3
67	4	STO	0	3
68	7	JMP	0	213
69	1	LIT	0	3
70	4	STO	0	3
71	3	LOD	0	3
72	1	LIT	0	0
73	2	LSS	0	10
74	8	JPC	0	246
75	3	LOD	0	3
76	9	WRT	0	1
77	3	LOD	0	3
78	1	LIT	0	1
79	2	ADD	0	2
80	4	STO	0	3
81	7	JMP	0	213
82	9	HAL	0	3
